"JETBEA"	"JetBeam"
"ALPSOZ"	"Alps Outdoors"
"CANN50"	"Cannae 50%"
"COGHLA"	"Coghlan"
"WILEYX"	"Wiley X"
"PRINCE"	"Princeton Tec Sport Lights"
"MICAUT"	"Microtech"
"TERRAL"	"TerraLUX"
"HOGUEX"	"Hogue Knives"
"SAFDUT"	"Safariland Duty Gear"
"HKXXXX"	"H&K"
"NEXTOO"	"NexTool"
"RODXXX"	"Unavailable"
"UMBOLL"	"Bolle"
"STREAM"	"Streamlight Flashlight"
"LKLXXX"	"Swisstech Tools"
"GENP50"	"GenPro"
"KLARUS"	"Klarus"
"BIANCH"	"Bianchi Police Equipment"
"SWKAUT"	"S&W Autos"
"ALPSXX"	"Alps Mountaineering"
"TOOLOG"	"Tool Logic Tools"
"PSPROD"	"PS Products"
"RIVIER"	"Riviera RC"
"ECHOSI"	"Echo-Sigma Emergency Systems"
"TACPRO"	"Tacprogear"
"HOGAUT"	"Hogue Automatic"
"LIGBRO"	"LighterBro"
"COLAUT"	"Cold Steel"
"UNDERA"	"Under Armour"
"BKHAWK"	"Blackhawk"
"FORENS"	"Forensics Source"
"HOLLYW"	"Hollywood Collectibles"
"SMITHO"	"Smith Optics"
"FALLKN"	"Fallkniven"
"CAAXXX"	"Command Arms Accessories"
"AQUAMI"	"Aquamira"
"UNCLBC"	"Butler Creek"
"KITDAO"	"KitchenDAO"
"UMSERE"	"Serengeti Eyewear"
"PEERHC"	"Peerless Handcuff"
"GARGOY"	"Gargoyles"
"SAFACC"	"Safariland Accessories"
"BROUSB"	"Brous Blades"
"SOGXXX"	"S.O.G. Knives"
"STRACC"	"Streamlight Accessories"
"COLDST"	"Cold Steel Cutlery"
"GEIGSP"	"Geigerrig Outdoor"
"ALPSBC"	"Alps Browning Camping"
"PRIMUS"	"Primus"
"OLYMPI"	"Olympia"
"SAFHAN"	"Safariland Handcuffs"
"UNITED"	"United Cutlery"
"MORAKN"	"Mora Knives"
"NECTAR"	"Nectar"
"PROELI"	"Proelia"
"HUMVEE"	"Humvee"
"DEFENS"	"Defense Technology"
"SWWATC"	"Smith & Wesson Watch"
"CAMOFO"	"Camoform"
"CTKXXX"	"Condor Tool & Knife"
"UNCLHP"	"Hoppe's"
"FINPEN"	"Finney Pens"
"MOTCAT"	"Catalogs"
"KLEENB"	"Kleen Bore"
"BOKERP"	"Boker Plus"
"BREAKF"	"Break Free"
"CANN45"	"Cannae 45%"
"ALPSCR"	"Alps Cedar Ridge"
"511XXX"	"5.11 Tactical"
"BHAPPA"	"Blackhawk Apparel"
"MONADN"	"Monadnock"
"CAMCON"	"Camcon"
"HKXAUT"	"H&K"
"RUCKUP"	"Ruck Up"
"MECHNX"	"Mechanix Wear"
"UMTASC"	"Tasco"
"SPYBYR"	"Byrd"
"SWKNFE"	"Smith & Wesson Knives"
"CMBTVE"	"Combative Edge"
"AMKSOL"	"Survive Outdoors Longer"
"BRUNTO"	"Brunton"
"LANSKY"	"Lansky Sharpener"
"HOGU40"	"Hogue Gun Accessories 40%"
"LIONGM"	"Liong Mah"
"STRIKE"	"Strike Light"
"FREMON"	"Fremont Knives"
"SWPEPS"	"S&W Pepper Spray"
"SABREX"	"Sabre"
"BOKERM"	"Boker Magnum"
"KILMAN"	"Kilimanjaro Gear"
"SOGAUT"	"Sog"
"JOYMUS"	"Mustang Knives"
"UKEXXX"	"Underwater Kinetics Flashlight"
"UNITKR"	"Kit Rae"
"DISCON"	"Discontinued"
"WILCOM"	"Wilson Combative"
"BLADET"	"Blade Tech"
"HCIGAR"	"H Cigar"
"NDURXX"	"NDuR"
"SWCUFF"	"Smith & Wesson Cuffs"
"BKBHDE"	"Dynamic Entry"
"BRITES"	"Brite Strike"
"SUUNTO"	"Suunto"
"UNITGH"	"Gil Hibben Knives"
"KERSKN"	"Kershaw Knives"
"NODISC"	"No discount"
"SCHAUT"	"Schrade Autos"
"ENERPL"	"EnerPlex"
"GERLIG"	"Gerber Lighting"
"ULTSUR"	"Ultimate Survival"
"HOGU35"	"Hogue Gun Accessories 35%"
"ALTAIN"	"Alta Tactical"
"ECOVES"	"Eco Vessel"
"FISPEN"	"Fisher Space Pens"
"GASMON"	"Gas Monkey"
"NITCOR"	"NITECORE"
"SIMMON"	"Simmons"
"UNCLEM"	"Uncle Mikes Police Accessories"
"MISCAD"	"Misc Charges"
"UCOXXX"	"UCO"
"UNCHEN"	"Uncle Henry"
"CRKAUT"	"CRKT Autos"
"BUCKKN"	"Buck Knives"
"MEDFOR"	"Medford Knife & Tool"
"NITEIZ"	"Nite-Ize"
"NITEIP"	"Nite Ize Pets"
"OUTEDG"	"Outdoor Edge"
"CRKTRU"	"Ruger"
"GERBTL"	"Gerber Tools"
"FIRSTE"	"First Edge USA"
"SPYDER"	"Spyderco Knives"
